,media_id,media_title,duration,status,media_type,archived,folder_name,section,created_at,updated_at,load_date
0,qd94v11jet,Justin Lawson Isett,210.516,ready,Video,false,testimonials,,2026-03-17T21:15:50+00:00,2026-03-17T21:22:43+00:00,2026-05-10T00:00:00.000
1,k0ozby95gh,Copy of bbetos_testimonial (720p) (1),100.133,ready,Video,false,testimonials,,2026-03-17T21:21:05+00:00,2026-03-17T21:21:28+00:00,2026-05-10T00:00:00.000
2,oc8rdrasgm,Copy of calvin_testimonial_20240229 (1080p) (2),125.466,ready,Video,false,testimonials,,2026-03-17T21:20:56+00:00,2026-03-17T21:21:23+00:00,2026-05-10T00:00:00.000
3,00q6qn8pnu,Copy of nick_logan_deacademy_testimonial (1080p) (2),232.567,ready,Video,false,testimonials,,2026-03-17T21:20:30+00:00,2026-03-17T21:20:58+00:00,2026-05-10T00:00:00.000
4,v7xub7rl9t,Copy of quinci_testimonial (720p) (1),232.037,ready,Video,false,testimonials,,2026-03-17T21:19:47+00:00,2026-03-17T21:20:09+00:00,2026-05-10T00:00:00.000
5,rn776fytwk,Paul Astroga Video Testimonial (1),253.5,ready,Video,false,testimonials,,2026-03-17T21:16:12+00:00,2026-03-17T21:17:49+00:00,2026-05-10T00:00:00.000
6,178jt7unft,Lekhya Sake - Testimonial,125.388,ready,Video,false,testimonials,,2026-03-17T21:16:01+00:00,2026-03-17T21:17:03+00:00,2026-05-10T00:00:00.000
7,kav84yn3j7,Joshua Hwang - Video Testimonial (graduate),40.588,ready,Video,false,testimonials,,2026-03-17T21:13:51+00:00,2026-03-17T21:15:11+00:00,2026-05-10T00:00:00.000
8,xyb1dfg2oq,Amara TP,47.68,ready,Video,false,testimonials,,2026-03-17T21:13:39+00:00,2026-03-17T21:14:34+00:00,2026-05-10T00:00:00.000
9,5ll34u77cw,Tommy Huffman - Aug 18 2025 (1),278.268,ready,Video,false,testimonials,,2026-03-17T21:13:10+00:00,2026-03-17T21:13:31+00:00,2026-05-10T00:00:00.000
10,timvh2htbg,Sugandha Sharma (1),83.1042,ready,Video,false,testimonials,,2026-03-17T21:12:58+00:00,2026-03-17T21:13:17+00:00,2026-05-10T00:00:00.000
